,load,alloc,reward,sigma,event_start_time,event_end_time
1684855804.211079,1.0,1.0,11.177936553955078,13.115653991699219,1684855804.211079,1684855827.4711854
1684855827.6494129,1.0,1.0,13.477629661560059,12.338144302368164,1684855827.6494129,1684855845.9018807
1684855846.1805627,1.0,1.0,17.582225799560547,13.607370376586914,1684855846.1805627,1684855861.5938554
1684855862.0144978,1.0,1.0,10.611662864685059,12.603206634521484,1684855862.0144978,1684855885.6677182
1684855885.9850693,1.0,1.0,11.972481727600098,12.57820987701416,1684855885.9850693,1684855906.866288
1684855907.1787822,1.0,1.0,11.166767120361328,13.33956527709961,1684855907.1787822,1684855930.9099126
1684855931.0657437,1.0,1.0,10.356392860412598,12.994085311889648,1684855931.0657437,1684855955.9778914
1684855956.4569044,1.0,1.0,16.783767700195312,12.273674011230469,1684855956.4569044,1684855970.9947608
1684855971.310116,1.0,1.0,11.799357414245605,13.112627983093262,1684855971.310116,1684855993.4299655
1684855993.8510282,1.0,1.0,16.72212028503418,13.432879447937012,1684855993.8510282,1684856009.8179038
1684856010.378231,1.0,1.0,11.052945137023926,13.98384952545166,1684856010.378231,1684856035.5298984
1684856035.813973,1.0,1.0,10.109700202941895,12.560662269592285,1684856035.813973,1684856060.5426974
1684856060.8426208,1.0,1.0,12.316302299499512,13.144606590270996,1684856060.8426208,1684856082.0340466
1684856082.4237807,1.0,1.0,17.25613784790039,14.101710319519043,1684856082.4237807,1684856098.6498919
1684856098.9688134,1.0,1.0,9.970856666564941,12.297797203063965,1684856098.9688134,1684856123.4401302
1684856123.7003002,1.0,1.0,19.193580627441406,12.790165901184082,1684856123.7003002,1684856136.9338913
1684856137.1564138,1.0,1.0,13.847399711608887,12.428817749023438,1684856137.1564138,1684856154.9936976
1684856155.5396996,1.0,1.0,24.80907440185547,13.441755294799805,1684856155.5396996,1684856166.3018906
1684856166.7650912,1.0,1.0,10.806914329528809,12.519533157348633,1684856166.7650912,1684856189.805895
1684856190.1056707,1.0,1.0,10.843268394470215,12.688902854919434,1684856190.1056707,1684856213.3458965
1684856213.6746387,1.0,1.0,10.81713581085205,12.206515312194824,1684856213.6746387,1684856236.138995
