,load,alloc,reward,sigma,event_start_time,event_end_time
1684900158.3471713,1.0,2.0,12.88709545135498,18.57164764404297,1684900158.3471713,1684900186.6700783
1684900186.9636104,1.0,2.0,25.66573715209961,19.692121505737305,1684900186.9636104,1684900202.0420785
1684900230.6459193,1.0,1.0,13.014849662780762,13.99443531036377,1684900230.6459193,1684900252.0061355
1684900252.3993485,1.0,1.0,20.002721786499023,11.614583969116211,1684900252.3993485,1684900263.9477773
1684900264.249037,1.0,1.0,12.975015640258789,12.079446792602539,1684900264.249037,1684900282.7461243
1684900282.8987572,1.0,1.0,14.875142097473145,15.663466453552246,1684900282.8987572,1684900303.80612
1684900304.031344,1.0,1.0,22.85608673095703,15.187312126159668,1684900304.031344,1684900317.2444544
1684900317.518699,1.0,1.0,12.132904052734375,15.347554206848145,1684900317.518699,1684900342.5745301
1684900342.7909012,1.0,1.0,13.816712379455566,15.94289779663086,1684900342.7909012,1684900365.73413
1684900365.9261496,1.0,1.0,13.089750289916992,14.225584983825684,1684900365.9261496,1684900387.5461185
1684900387.9066265,1.0,1.0,12.906417846679688,15.739195823669434,1684900387.9066265,1684900412.1581275
1684900412.486254,1.0,1.0,12.198546409606934,15.411639213562012,1684900412.486254,1684900437.5712097
1684900437.800656,1.0,1.0,11.730189323425293,15.309914588928223,1684900437.800656,1684900463.7166908
1684900463.8273418,1.0,1.0,12.222951889038086,15.972315788269043,1684900463.8273418,1684900489.762158
1684900490.1080084,1.0,1.0,15.846095085144043,16.00739288330078,1684900490.1080084,1684900510.1760445
1684900510.3409681,1.0,1.0,13.001823425292969,15.100414276123047,1684900510.3409681,1684900533.4146543
1684900533.7006264,1.0,1.0,12.484694480895996,15.155631065368652,1684900533.7006264,1684900557.8101466
1684900558.0206776,1.0,1.0,14.46228313446045,15.922096252441406,1684900558.0206776,1684900579.9397616
1684900580.270152,1.0,1.0,14.017444610595703,15.568100929260254,1684900580.270152,1684900602.3141122
1684900602.744477,1.0,1.0,13.980436325073242,16.092548370361328,1684900602.744477,1684900625.562076
1684900625.760823,1.0,1.0,13.539827346801758,16.022668838500977,1684900625.760823,1684900649.24709
1684900649.5832524,1.0,1.0,14.08126163482666,14.99142074584961,1684900649.5832524,1684900670.746129
1684900670.949179,1.0,1.0,12.70763874053955,15.04788875579834,1684900670.949179,1684900694.4783344
1684900694.6359494,1.0,1.0,12.768885612487793,15.459269523620605,1684900694.6359494,1684900718.6787684
1684900718.813151,1.0,1.0,12.879559516906738,15.35061264038086,1684900718.813151,1684900742.4940841
1684900742.6572652,1.0,1.0,15.063202857971191,15.23330020904541,1684900742.6572652,1684900762.7061222
1684900762.8328662,1.0,1.0,14.485612869262695,15.310924530029297,1684900762.8328662,1684900783.8192065
1684900784.219013,1.0,1.0,13.048519134521484,14.926095962524414,1684900784.219013,1684900807.2101276
1684900807.3657696,1.0,1.0,13.486882209777832,15.532224655151367,1684900807.3657696,1684900830.2027752
1684900830.378685,1.0,1.0,13.80596923828125,15.67182445526123,1684900830.378685,1684900852.977605
1684900853.5352004,1.0,1.0,13.0347261428833,15.886961936950684,1684900853.5352004,1684900877.7781343
1684900878.1387825,1.0,1.0,12.487781524658203,15.054614067077637,1684900878.1387825,1684900902.0821857
1684900902.4341848,1.0,1.0,12.426441192626953,15.326419830322266,1684900902.4341848,1684900926.8981488
1684900927.0107334,1.0,1.0,13.749552726745605,15.654959678649902,1684900927.0107334,1684900949.5569208
1684900949.8396626,1.0,1.0,11.7965087890625,14.888562202453613,1684900949.8396626,1684900975.1861448
1684900975.4556446,1.0,1.0,11.925549507141113,14.916879653930664,1684900975.4556446,1684901000.2763045
1684901000.6349568,1.0,1.0,12.981558799743652,13.520790100097656,1684901000.6349568,1684901021.3566587
1684901021.5863388,1.0,1.0,14.236771583557129,14.495685577392578,1684901021.5863388,1684901041.8156438
1684901042.6118352,1.0,1.0,13.66254997253418,14.968026161193848,1684901042.6118352,1684901064.3500907
1684901064.6840189,1.0,1.0,12.934428215026855,15.771032333374023,1684901064.6840189,1684901088.8830009
1684901089.3913326,1.0,1.0,13.231695175170898,15.700366973876953,1684901089.3913326,1684901112.9710774
1684901113.3936708,1.0,1.0,12.545564651489258,15.834866523742676,1684901113.3936708,1684901138.5021458
